[2026-05-28 09:09:58.861] [INIT].... → Crawl4AI 0.8.6 
[2026-05-28 09:10:01.015] [FETCH]... ↓ https://wallstreetcn.com/articles/3773196                                                            | ✓ | ⏱: 2.11s 
[2026-06-08 17:16:54.593] [COMPLETE] ● https://wallstreetcn.com/articles/3774087                                                            | ✓ | ⏱: 0.89s 
[2026-06-08 17:16:54.613] [FETCH]... ↓ https://wallstreetcn.com/articles/3774051                                                            | ✓ | ⏱: 1.01s 
[2026-06-08 17:16:54.637] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3774051                                                            | ✓ | ⏱: 0.02s 
[2026-06-08 17:16:54.644] [COMPLETE] ● https://wallstreetcn.com/articles/3774051                                                            | ✓ | ⏱: 1.04s 
[2026-06-08 17:16:56.592] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33329863                                                  | ✓ | ⏱: 1.93s 
[2026-06-08 17:16:56.597] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33329863                                                  | ✓ | ⏱: 0.00s 
[2026-06-08 17:16:56.599] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33329863                                                  | ✓ | ⏱: 1.93s 
[2026-06-08 17:16:56.759] [FETCH]... ↓ https://wallstreetcn.com/articles/3774054                                                            | ✓ | ⏱: 0.90s 
[2026-06-08 17:16:56.766] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3774054                                                            | ✓ | ⏱: 0.00s 
[2026-06-08 17:16:56.768] [COMPLETE] ● https://wallstreetcn.com/articles/3774054                                                            | ✓ | ⏱: 0.90s 
[2026-06-08 17:16:57.631] [FETCH]... ↓ https://wallstreetcn.com/articles/3774054                                                            | ✓ | ⏱: 0.85s 
[2026-06-08 17:16:57.656] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3774054                                                            | ✓ | ⏱: 0.02s 
[2026-06-08 17:16:57.663] [COMPLETE] ● https://wallstreetcn.com/articles/3774054                                                            | ✓ | ⏱: 0.88s 
[2026-06-08 17:16:58.585] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33329863                                                  | ✓ | ⏱: 1.98s 
[2026-06-08 17:16:58.628] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33329863                                                  | ✓ | ⏱: 0.04s 
[2026-06-08 17:16:58.637] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33329863                                                  | ✓ | ⏱: 2.03s 
[2026-06-08 17:16:59.698] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33314672                                                  | ✓ | ⏱: 1.79s 
[2026-06-08 17:16:59.703] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33314672                                                  | ✓ | ⏱: 0.00s 
[2026-06-08 17:16:59.705] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33314672                                                  | ✓ | ⏱: 1.79s 
[2026-06-08 17:17:01.438] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33314672                                                  | ✓ | ⏱: 1.72s 
[2026-06-08 17:17:01.488] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33314672                                                  | ✓ | ⏱: 0.05s 
[2026-06-08 17:17:01.497] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33314672                                                  | ✓ | ⏱: 1.78s 
[2026-06-08 17:17:02.467] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33329942                                                  | ✓ | ⏱: 1.75s 
[2026-06-08 17:17:02.472] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33329942                                                  | ✓ | ⏱: 0.00s 
[2026-06-08 17:17:02.475] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33329942                                                  | ✓ | ⏱: 1.76s 
[2026-06-08 17:17:04.480] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33329942                                                  | ✓ | ⏱: 1.99s 
[2026-06-08 17:17:04.536] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33329942                                                  | ✓ | ⏱: 0.05s 
[2026-06-08 17:17:04.545] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33329942                                                  | ✓ | ⏱: 2.06s 
[2026-06-08 17:17:04.583] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33329321                                                  | ✓ | ⏱: 1.79s 
[2026-06-08 17:17:04.588] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33329321                                                  | ✓ | ⏱: 0.00s 
[2026-06-08 17:17:04.590] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33329321                                                  | ✓ | ⏱: 1.79s 
[2026-06-08 17:17:06.556] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33329321                                                  | ✓ | ⏱: 1.96s 
[2026-06-08 17:17:06.594] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33329321                                                  | ✓ | ⏱: 0.04s 
[2026-06-08 17:17:06.604] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33329321                                                  | ✓ | ⏱: 2.00s 
[2026-06-08 17:17:06.638] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33288543                                                  | ✓ | ⏱: 1.76s 
[2026-06-08 17:17:06.643] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33288543                                                  | ✓ | ⏱: 0.00s 
[2026-06-08 17:17:06.645] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33288543                                                  | ✓ | ⏱: 1.77s 
[2026-06-08 17:17:08.360] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33288543                                                  | ✓ | ⏱: 1.70s 
[2026-06-08 17:17:08.406] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33288543                                                  | ✓ | ⏱: 0.04s 
[2026-06-08 17:17:08.415] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33288543                                                  | ✓ | ⏱: 1.76s 
[2026-06-08 17:17:09.898] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33327872                                                  | ✓ | ⏱: 1.74s 
[2026-06-08 17:17:09.903] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33327872                                                  | ✓ | ⏱: 0.00s 
[2026-06-08 17:17:09.906] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33327872                                                  | ✓ | ⏱: 1.75s 
[2026-06-08 17:17:11.643] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33327872                                                  | ✓ | ⏱: 1.73s 
[2026-06-08 17:17:11.690] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33327872                                                  | ✓ | ⏱: 0.04s 
[2026-06-08 17:17:11.699] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33327872                                                  | ✓ | ⏱: 1.78s 
[2026-06-08 17:17:12.321] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33330937                                                  | ✓ | ⏱: 1.71s 
[2026-06-08 17:17:12.326] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33330937                                                  | ✓ | ⏱: 0.00s 
[2026-06-08 17:17:12.328] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33330937                                                  | ✓ | ⏱: 1.71s 
[2026-06-08 17:17:14.107] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33330937                                                  | ✓ | ⏱: 1.77s 
[2026-06-08 17:17:14.145] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33330937                                                  | ✓ | ⏱: 0.04s 
[2026-06-08 17:17:14.153] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33330937                                                  | ✓ | ⏱: 1.81s 
[2026-06-08 17:17:15.794] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33315891                                                  | ✓ | ⏱: 1.73s 
[2026-06-08 17:17:15.799] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33315891                                                  | ✓ | ⏱: 0.00s 
[2026-06-08 17:17:15.801] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33315891                                                  | ✓ | ⏱: 1.74s 
[2026-06-08 17:17:17.543] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33315891                                                  | ✓ | ⏱: 1.73s 
[2026-06-08 17:17:17.592] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33315891                                                  | ✓ | ⏱: 0.05s 
[2026-06-08 17:17:17.600] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33315891                                                  | ✓ | ⏱: 1.79s 
[2026-06-08 17:17:18.338] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33331870                                                  | ✓ | ⏱: 1.69s 
[2026-06-08 17:17:18.342] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33331870                                                  | ✓ | ⏱: 0.00s 
[2026-06-08 17:17:18.344] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33331870                                                  | ✓ | ⏱: 1.69s 
[2026-06-08 17:17:20.140] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33331870                                                  | ✓ | ⏱: 1.79s 
[2026-06-08 17:17:20.184] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33331870                                                  | ✓ | ⏱: 0.04s 
[2026-06-08 17:17:20.193] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33331870                                                  | ✓ | ⏱: 1.84s 
[2026-06-08 17:17:20.664] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33329877                                                  | ✓ | ⏱: 1.74s 
[2026-06-08 17:17:20.669] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33329877                                                  | ✓ | ⏱: 0.00s 
[2026-06-08 17:17:20.671] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33329877                                                  | ✓ | ⏱: 1.75s 
[2026-06-08 17:17:22.372] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33329877                                                  | ✓ | ⏱: 1.69s 
[2026-06-08 17:17:22.416] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33329877                                                  | ✓ | ⏱: 0.04s 
[2026-06-08 17:17:22.425] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33329877                                                  | ✓ | ⏱: 1.74s 
[2026-06-08 17:17:23.205] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33331551                                                  | ✓ | ⏱: 1.71s 
[2026-06-08 17:17:23.210] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33331551                                                  | ✓ | ⏱: 0.00s 
[2026-06-08 17:17:23.211] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33331551                                                  | ✓ | ⏱: 1.71s 
[2026-06-08 17:17:25.164] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33329131                                                  | ✓ | ⏱: 1.74s 
[2026-06-08 17:17:25.168] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33329131                                                  | ✓ | ⏱: 0.00s 
[2026-06-08 17:17:25.171] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33329131                                                  | ✓ | ⏱: 1.75s 
[2026-06-08 17:17:25.221] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33331551                                                  | ✓ | ⏱: 2.00s 
[2026-06-08 17:17:25.271] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33331551                                                  | ✓ | ⏱: 0.05s 
[2026-06-08 17:17:25.281] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33331551                                                  | ✓ | ⏱: 2.06s 
[2026-06-08 17:17:26.929] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33329131                                                  | ✓ | ⏱: 1.75s 
[2026-06-08 17:17:26.970] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33329131                                                  | ✓ | ⏱: 0.04s 
[2026-06-08 17:17:26.979] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33329131                                                  | ✓ | ⏱: 1.80s 
[2026-06-08 17:17:28.156] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33329823                                                  | ✓ | ⏱: 1.72s 
[2026-06-08 17:17:28.165] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33329823                                                  | ✓ | ⏱: 0.01s 
[2026-06-08 17:17:28.168] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33329823                                                  | ✓ | ⏱: 1.74s 
[2026-06-08 17:17:29.907] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33329823                                                  | ✓ | ⏱: 1.73s 
[2026-06-08 17:17:29.944] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33329823                                                  | ✓ | ⏱: 0.04s 
[2026-06-08 17:17:29.952] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33329823                                                  | ✓ | ⏱: 1.77s 
[2026-06-08 17:17:30.527] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33329506                                                  | ✓ | ⏱: 1.69s 
[2026-06-08 17:17:30.532] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33329506                                                  | ✓ | ⏱: 0.00s 
[2026-06-08 17:17:30.534] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33329506                                                  | ✓ | ⏱: 1.70s 
[2026-06-08 17:17:32.342] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33330017                                                  | ✓ | ⏱: 1.70s 
[2026-06-08 17:17:32.348] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33330017                                                  | ✓ | ⏱: 0.00s 
[2026-06-08 17:17:32.350] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33330017                                                  | ✓ | ⏱: 1.70s 
[2026-06-08 17:17:32.501] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33329506                                                  | ✓ | ⏱: 1.96s 
[2026-06-08 17:17:32.536] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33329506                                                  | ✓ | ⏱: 0.03s 
[2026-06-08 17:17:32.544] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33329506                                                  | ✓ | ⏱: 2.00s 
[2026-06-08 17:17:34.125] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33330017                                                  | ✓ | ⏱: 1.76s 
[2026-06-08 17:17:34.161] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33330017                                                  | ✓ | ⏱: 0.03s 
[2026-06-08 17:17:34.169] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33330017                                                  | ✓ | ⏱: 1.81s 
[2026-06-08 17:17:34.681] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33329627                                                  | ✓ | ⏱: 1.73s 
[2026-06-08 17:17:34.686] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33329627                                                  | ✓ | ⏱: 0.00s 
[2026-06-08 17:17:34.688] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33329627                                                  | ✓ | ⏱: 1.73s 
[2026-06-08 17:17:36.570] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33329627                                                  | ✓ | ⏱: 1.87s 
[2026-06-08 17:17:36.609] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33329627                                                  | ✓ | ⏱: 0.04s 
[2026-06-08 17:17:36.618] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33329627                                                  | ✓ | ⏱: 1.92s 
[2026-06-08 17:17:36.849] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33329862                                                  | ✓ | ⏱: 1.71s 
[2026-06-08 17:17:36.855] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33329862                                                  | ✓ | ⏱: 0.00s 
[2026-06-08 17:17:36.856] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33329862                                                  | ✓ | ⏱: 1.71s 
[2026-06-08 17:17:38.541] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33329862                                                  | ✓ | ⏱: 1.68s 
[2026-06-08 17:17:38.578] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33329862                                                  | ✓ | ⏱: 0.03s 
[2026-06-08 17:17:38.586] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33329862                                                  | ✓ | ⏱: 1.72s 
[2026-06-08 17:17:40.491] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33329079                                                  | ✓ | ⏱: 1.88s 
[2026-06-08 17:17:40.496] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33329079                                                  | ✓ | ⏱: 0.00s 
[2026-06-08 17:17:40.498] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33329079                                                  | ✓ | ⏱: 1.89s 
[2026-06-08 17:17:40.594] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33330601                                                  | ✓ | ⏱: 1.99s 
[2026-06-08 17:17:40.600] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33330601                                                  | ✓ | ⏱: 0.00s 
[2026-06-08 17:17:40.602] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33330601                                                  | ✓ | ⏱: 2.00s 
[2026-06-08 17:17:42.343] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33330601                                                  | ✓ | ⏱: 1.73s 
[2026-06-08 17:17:42.382] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33330601                                                  | ✓ | ⏱: 0.04s 
[2026-06-08 17:17:42.390] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33330601                                                  | ✓ | ⏱: 1.78s 
[2026-06-08 17:17:42.525] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33329079                                                  | ✓ | ⏱: 2.02s 
[2026-06-08 17:17:42.571] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33329079                                                  | ✓ | ⏱: 0.04s 
[2026-06-08 17:17:42.580] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33329079                                                  | ✓ | ⏱: 2.07s 
[2026-06-08 17:17:44.328] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33330543                                                  | ✓ | ⏱: 1.92s 
[2026-06-08 17:17:44.333] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33330543                                                  | ✓ | ⏱: 0.00s 
[2026-06-08 17:17:44.335] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33330543                                                  | ✓ | ⏱: 1.93s 
[2026-06-08 17:17:44.426] [FETCH]... ↓ https://www.cls.cn/detail/2393027                                                                    | ✓ | ⏱: 1.82s 
[2026-06-08 17:17:44.433] [SCRAPE].. ◆ https://www.cls.cn/detail/2393027                                                                    | ✓ | ⏱: 0.00s 
[2026-06-08 17:17:44.435] [COMPLETE] ● https://www.cls.cn/detail/2393027                                                                    | ✓ | ⏱: 1.83s 
[2026-06-08 17:17:46.059] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33330543                                                  | ✓ | ⏱: 1.71s 
[2026-06-08 17:17:46.092] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33330543                                                  | ✓ | ⏱: 0.03s 
[2026-06-08 17:17:46.101] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33330543                                                  | ✓ | ⏱: 1.76s 
[2026-06-08 17:17:47.530] [FETCH]... ↓ https://www.cls.cn/detail/2393253                                                                    | ✓ | ⏱: 1.64s 
[2026-06-08 17:17:47.538] [SCRAPE].. ◆ https://www.cls.cn/detail/2393253                                                                    | ✓ | ⏱: 0.01s 
[2026-06-08 17:17:47.540] [COMPLETE] ● https://www.cls.cn/detail/2393253                                                                    | ✓ | ⏱: 1.65s 
[2026-06-08 17:17:49.940] [FETCH]... ↓ https://www.cls.cn/detail/2393080                                                                    | ✓ | ⏱: 1.58s 
[2026-06-08 17:17:49.946] [SCRAPE].. ◆ https://www.cls.cn/detail/2393080                                                                    | ✓ | ⏱: 0.00s 
[2026-06-08 17:17:49.948] [COMPLETE] ● https://www.cls.cn/detail/2393080                                                                    | ✓ | ⏱: 1.58s 
[2026-06-08 17:17:50.719] [FETCH]... ↓ https://www.cls.cn/detail/2393263                                                                    | ✓ | ⏱: 1.56s 
[2026-06-08 17:17:50.724] [SCRAPE].. ◆ https://www.cls.cn/detail/2393263                                                                    | ✓ | ⏱: 0.00s 
[2026-06-08 17:17:50.727] [COMPLETE] ● https://www.cls.cn/detail/2393263                                                                    | ✓ | ⏱: 1.56s 
[2026-06-08 17:17:53.557] [FETCH]... ↓ https://www.cls.cn/detail/2393128                                                                    | ✓ | ⏱: 1.62s 
[2026-06-08 17:17:53.562] [SCRAPE].. ◆ https://www.cls.cn/detail/2393128                                                                    | ✓ | ⏱: 0.00s 
[2026-06-08 17:17:53.564] [COMPLETE] ● https://www.cls.cn/detail/2393128                                                                    | ✓ | ⏱: 1.63s 
[2026-06-08 17:17:53.609] [FETCH]... ↓ https://www.cls.cn/detail/2393176                                                                    | ✓ | ⏱: 1.55s 
[2026-06-08 17:17:53.616] [SCRAPE].. ◆ https://www.cls.cn/detail/2393176                                                                    | ✓ | ⏱: 0.01s 
[2026-06-08 17:17:53.618] [COMPLETE] ● https://www.cls.cn/detail/2393176                                                                    | ✓ | ⏱: 1.56s 
[2026-06-08 17:17:55.982] [FETCH]... ↓ https://www.cls.cn/detail/2393231                                                                    | ✓ | ⏱: 1.56s 
[2026-06-08 17:17:55.987] [SCRAPE].. ◆ https://www.cls.cn/detail/2393231                                                                    | ✓ | ⏱: 0.00s 
[2026-06-08 17:17:55.989] [COMPLETE] ● https://www.cls.cn/detail/2393231                                                                    | ✓ | ⏱: 1.57s 
[2026-06-08 17:17:56.204] [FETCH]... ↓ https://www.cls.cn/detail/2393434                                                                    | ✓ | ⏱: 1.54s 
[2026-06-08 17:17:56.209] [SCRAPE].. ◆ https://www.cls.cn/detail/2393434                                                                    | ✓ | ⏱: 0.00s 
[2026-06-08 17:17:56.211] [COMPLETE] ● https://www.cls.cn/detail/2393434                                                                    | ✓ | ⏱: 1.54s 
[2026-06-08 17:17:58.781] [FETCH]... ↓ https://www.cls.cn/detail/2393019                                                                    | ✓ | ⏱: 1.58s 
[2026-06-08 17:17:58.786] [SCRAPE].. ◆ https://www.cls.cn/detail/2393019                                                                    | ✓ | ⏱: 0.00s 
[2026-06-08 17:17:58.788] [COMPLETE] ● https://www.cls.cn/detail/2393019                                                                    | ✓ | ⏱: 1.59s 
[2026-06-08 17:17:59.082] [FETCH]... ↓ https://www.cls.cn/detail/2393413                                                                    | ✓ | ⏱: 1.59s 
[2026-06-08 17:17:59.091] [SCRAPE].. ◆ https://www.cls.cn/detail/2393413                                                                    | ✓ | ⏱: 0.01s 
[2026-06-08 17:17:59.093] [COMPLETE] ● https://www.cls.cn/detail/2393413                                                                    | ✓ | ⏱: 1.60s 
[2026-06-08 17:18:01.199] [FETCH]... ↓ https://www.cls.cn/detail/2393073                                                                    | ✓ | ⏱: 1.56s 
[2026-06-08 17:18:01.205] [SCRAPE].. ◆ https://www.cls.cn/detail/2393073                                                                    | ✓ | ⏱: 0.00s 
[2026-06-08 17:18:01.207] [COMPLETE] ● https://www.cls.cn/detail/2393073                                                                    | ✓ | ⏱: 1.57s 
[2026-06-08 17:18:01.681] [FETCH]... ↓ https://www.cls.cn/detail/2393282                                                                    | ✓ | ⏱: 1.57s 
[2026-06-08 17:18:01.687] [SCRAPE].. ◆ https://www.cls.cn/detail/2393282                                                                    | ✓ | ⏱: 0.00s 
[2026-06-08 17:18:01.690] [COMPLETE] ● https://www.cls.cn/detail/2393282                                                                    | ✓ | ⏱: 1.58s 
[2026-06-08 17:18:04.038] [FETCH]... ↓ https://www.cls.cn/detail/2393222                                                                    | ✓ | ⏱: 1.56s 
[2026-06-08 17:18:04.044] [SCRAPE].. ◆ https://www.cls.cn/detail/2393222                                                                    | ✓ | ⏱: 0.00s 
[2026-06-08 17:18:04.046] [COMPLETE] ● https://www.cls.cn/detail/2393222                                                                    | ✓ | ⏱: 1.57s 
[2026-06-08 17:18:06.295] [FETCH]... ↓ https://news.ifeng.com/c/8tmVXBGy9Du                                                                 | ✓ | ⏱: 4.59s 
[2026-06-08 17:18:06.352] [SCRAPE].. ◆ https://news.ifeng.com/c/8tmVXBGy9Du                                                                 | ✓ | ⏱: 0.05s 
[2026-06-08 17:18:06.362] [COMPLETE] ● https://news.ifeng.com/c/8tmVXBGy9Du                                                                 | ✓ | ⏱: 4.65s 
[2026-06-08 17:18:07.119] [FETCH]... ↓ https://news.ifeng.com/c/8tmNZSiGGLp                                                                 | ✓ | ⏱: 3.06s 
[2026-06-08 17:18:07.173] [SCRAPE].. ◆ https://news.ifeng.com/c/8tmNZSiGGLp                                                                 | ✓ | ⏱: 0.05s 
[2026-06-08 17:18:07.182] [COMPLETE] ● https://news.ifeng.com/c/8tmNZSiGGLp                                                                 | ✓ | ⏱: 3.12s 
[2026-06-08 17:18:09.538] [FETCH]... ↓ https://news.ifeng.com/c/8tlEHCyOJyj                                                                 | ✓ | ⏱: 3.15s 
[2026-06-08 17:18:09.594] [SCRAPE].. ◆ https://news.ifeng.com/c/8tlEHCyOJyj                                                                 | ✓ | ⏱: 0.05s 
[2026-06-08 17:18:09.604] [COMPLETE] ● https://news.ifeng.com/c/8tlEHCyOJyj                                                                 | ✓ | ⏱: 3.22s 
[2026-06-08 17:18:10.429] [FETCH]... ↓ https://v.ifeng.com/c/8tm0Z8tlaBV                                                                    | ✓ | ⏱: 3.23s 
[2026-06-08 17:18:10.470] [SCRAPE].. ◆ https://v.ifeng.com/c/8tm0Z8tlaBV                                                                    | ✓ | ⏱: 0.04s 
[2026-06-08 17:18:10.484] [COMPLETE] ● https://v.ifeng.com/c/8tm0Z8tlaBV                                                                    | ✓ | ⏱: 3.28s 
[2026-06-08 17:18:12.547] [FETCH]... ↓ https://v.ifeng.com/c/8tjbQVaLS0w                                                                    | ✓ | ⏱: 2.81s 
[2026-06-08 17:18:12.587] [SCRAPE].. ◆ https://v.ifeng.com/c/8tjbQVaLS0w                                                                    | ✓ | ⏱: 0.04s 
[2026-06-08 17:18:12.599] [COMPLETE] ● https://v.ifeng.com/c/8tjbQVaLS0w                                                                    | ✓ | ⏱: 2.86s 
[2026-06-08 17:18:13.699] [FETCH]... ↓ https://news.ifeng.com/c/8tn0EMcDuKL                                                                 | ✓ | ⏱: 3.19s 
[2026-06-08 17:18:13.766] [SCRAPE].. ◆ https://news.ifeng.com/c/8tn0EMcDuKL                                                                 | ✓ | ⏱: 0.06s 
[2026-06-08 17:18:13.779] [COMPLETE] ● https://news.ifeng.com/c/8tn0EMcDuKL                                                                 | ✓ | ⏱: 3.27s 
[2026-06-08 17:18:16.096] [FETCH]... ↓ https://news.ifeng.com/c/8tn5OEaKHUw                                                                 | ✓ | ⏱: 3.16s 
[2026-06-08 17:18:16.151] [SCRAPE].. ◆ https://news.ifeng.com/c/8tn5OEaKHUw                                                                 | ✓ | ⏱: 0.05s 
[2026-06-08 17:18:16.161] [COMPLETE] ● https://news.ifeng.com/c/8tn5OEaKHUw                                                                 | ✓ | ⏱: 3.23s 
[2026-06-08 17:18:18.228] [FETCH]... ↓ https://news.ifeng.com/c/8tn4xTp3jeM                                                                 | ✓ | ⏱: 3.46s 
[2026-06-08 17:18:18.300] [SCRAPE].. ◆ https://news.ifeng.com/c/8tn4xTp3jeM                                                                 | ✓ | ⏱: 0.07s 
[2026-06-08 17:18:18.314] [COMPLETE] ● https://news.ifeng.com/c/8tn4xTp3jeM                                                                 | ✓ | ⏱: 3.54s 
